id,pedido_id,item_numero,descripcion,cantidad,peso_total,espesor,material,unidad_cobro,precio_unitario,total_linea,origen_precio,detalles
1702,276,2,Transformación,1.0,2.3,0.5,Galvanizado,kg,160.0,368.0,Lista: Transformación (Galv),Dim: A:40cm B:20cm C:20cm D:20cm H:50cm | Unión: Balleta / Balleta | Simetría: Superior Parejo
1703,276,3,Ducto Recto,1.0,3.6799999999999997,0.5,Galvanizado,kg,160.0,588.8,Lista: Ducto Recto (Galv),Dim: A:20cm B:20cm H:100cm | Unión: Balleta / Balleta
1704,276,4,Ducto Recto,2.0,5.52,0.5,Galvanizado,kg,160.0,883.1999999999999,Lista: Ducto Recto (Galv),Dim: A:15cm B:15cm H:100cm | Unión: Balleta / Balleta
1705,276,5,Transformación,1.0,1.6099999999999999,0.5,Galvanizado,kg,160.0,257.59999999999997,Lista: Transformación (Galv),Dim: A:20cm B:20cm C:15cm D:15cm H:50cm | Unión: Balleta / Balleta | Simetría: Superior Parejo
1706,276,6,Tapa,1.0,0.1035,0.5,Galvanizado,kg,160.0,16.56,Lista: Tapa (Galv),Dim: A:15cm B:15cm | Unión: Embutido / Embutido
1707,276,7,Ducto Recto,5.0,16.099999999999998,0.5,Galvanizado,kg,160.0,2575.9999999999995,Lista: Ducto Recto (Galv),Dim: A:20cm B:15cm H:100cm | Unión: Balleta / Balleta
1708,276,8,Transformación,1.0,1.38,0.5,Galvanizado,kg,160.0,220.79999999999998,Lista: Transformación (Galv),Dim: A:20cm B:15cm C:15cm D:10cm H:50cm | Unión: Balleta / Balleta | Simetría: Superior Parejo
1709,276,9,Ducto Recto,3.0,6.8999999999999995,0.5,Galvanizado,kg,160.0,1104.0,Lista: Ducto Recto (Galv),Dim: A:15cm B:10cm H:100cm | Unión: Balleta / Balleta
1710,276,10,Codo,1.0,0.8128889999999999,0.5,Galvanizado,kg,160.0,130.06223999999997,Lista: Codo (Galv),Dim: A:15cm B:10cm R:10cm | Ang: 90° | Unión: Balleta / Balleta | Simetría: Asimétrica
1711,276,11,Ducto Recto,2.0,4.6,0.5,Galvanizado,kg,160.0,736.0,Lista: Ducto Recto (Galv),Dim: A:15cm B:10cm H:100cm | Unión: Balleta / Balleta
1712,276,12,Tapa,1.0,0.06899999999999999,0.5,Galvanizado,kg,160.0,11.04,Lista: Tapa (Galv),Dim: A:15cm B:10cm | Unión: Embutido / Embutido
1713,277,1,Ducto Cilíndrico,1.0,3.3816182399999994,0.5,Galvanizado,-,0.0,0.0,Manual,Dim: H:90cm Ø:26cm | Unión: Copla Rodón / Liso
1715,279,1,Pleno,1.0,,0.5,Galvanizado,un,12000.0,12000.0,Lista: Pleno (Pieza Esp.),
1716,279,2,Ducto Recto,1.0,1.30896,0.5,Galvanizado,kg,160.0,209.43359999999998,Lista: Ducto Recto (Galv),
1717,279,3,Ducto Recto,1.0,0.7144,0.5,Galvanizado,kg,160.0,114.304,Lista: Ducto Recto (Galv),
1718,280,1,Transformación,1.0,,0.5,Galvanizado,kg,160.0,,Lista: Transformación (Galv),
1719,280,2,Transformación,1.0,1.3086719999999998,0.6,Galvanizado,kg,160.0,209.38751999999997,Lista: Transformación (Galv),
1720,280,3,Ducto Recto,1.0,1.1710079999999998,0.6,Galvanizado,kg,160.0,187.36127999999997,Lista: Ducto Recto (Galv),
1721,280,4,Ducto Recto,1.0,1.1710079999999998,0.6,Galvanizado,kg,160.0,187.36127999999997,Lista: Ducto Recto (Galv),
1722,280,5,S,1.0,1.1710079999999998,0.6,Galvanizado,kg,160.0,187.36127999999997,Lista: S (Galv),
1723,281,1,Zapato c/ Templador,2.0,1.656,0.5,Galvanizado,un,1320.0,2640.0,Lista: Zapato c/ Templador (Pieza Esp.),Dim: A:30cm B:15cm H:20cm | Unión: Balleta / Balleta
1724,281,2,Tapa,4.0,0.828,0.5,Galvanizado,kg,160.0,132.48,Lista: Tapa (Galv),Dim: A:30cm B:15cm | Unión: Balleta / Balleta
1725,281,3,Ducto Recto,4.0,11.04,0.5,Galvanizado,kg,160.0,1766.3999999999999,Lista: Ducto Recto (Galv),Dim: A:30cm B:30cm H:50cm | Unión: Balleta / Balleta
1726,281,4,Transformación,1.0,4.254999999999999,0.5,Galvanizado,kg,160.0,680.7999999999998,Lista: Transformación (Galv),Dim: A:115cm B:20cm C:30cm D:20cm H:50cm | Unión: Balleta / Balleta | Simetría: Simétrica - Sup. Pareja
1727,281,5,Transformación,1.0,2.1849999999999996,0.5,Galvanizado,kg,160.0,349.5999999999999,Lista: Transformación (Galv),Dim: A:30cm B:20cm C:30cm D:15cm H:50cm | Unión: Balleta / Balleta | Simetría: Simétrica - Sup. Pareja
1728,281,6,Ducto Recto,3.0,13.799999999999999,0.5,Galvanizado,kg,160.0,2208.0,Lista: Ducto Recto (Galv),Dim: A:30cm B:20cm H:100cm | Unión: Balleta / Balleta
1729,281,7,Ducto Recto,11.0,55.66,0.5,Galvanizado,kg,160.0,8905.599999999999,Lista: Ducto Recto (Galv),Dim: A:30cm B:25cm H:100cm | Unión: Balleta / Balleta
1730,281,8,Codo,2.0,3.901867199999999,0.5,Galvanizado,kg,160.0,624.2987519999998,Lista: Codo (Galv),Dim: A:30cm B:15cm R:10cm | Ang: 90° | Unión: Balleta / Balleta | Simetría: Simétrico
1731,281,9,Transformación,1.0,2.76,0.5,Galvanizado,kg,160.0,441.59999999999997,Lista: Transformación (Galv),Dim: A:30 cm B:15cm C:60cm D:15cm H:50cm | Unión: Balleta / Balleta | Simetría: Simétrica - Sup. Pareja
1732,281,10,Unión c/ Lona,1.0,2.4839999999999995,0.5,Galvanizado,un,2340.0,2340.0,Lista: Unión c/ Lona (Pieza Esp.),Dim: A:115cm B:20cm H:20cm | Unión: Balleta / Liso
1733,281,11,Ducto Recto,1.0,3.2199999999999998,0.5,Galvanizado,kg,160.0,515.1999999999999,Lista: Ducto Recto (Galv),Dim: A:40cm B:30cm H:50cm | Unión: Balleta / Balleta
1734,281,12,Pleno,1.0,8.509999999999998,0.5,Galvanizado,un,12000.0,12000.0,Lista: Pleno (Pieza Esp.),Dim: A:115cm B:20cm H:60cm | Unión: Liso / Tapa ciega
1735,282,1,Ducto Cilíndrico,15.0,3.121493759999999,0.5,Galvanizado,-,0.0,0.0,Manual,Dim: H:12cm Ø:12cm | Unión: Copla Rodón / Embutido
1736,282,2,Curva con Casquete,2.0,0.0,0.5,Galvanizado,un,1080.0,2160.0,Lista: Curva con Casquete (Pieza Esp.),Dim: Ø:12cm | Ang: 90° | Casq: 2 | Unión: Copla Rodón / Embutido
